Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.177780,2.180000,2.122220,2.133330,1.884573,571500
2000-01-04,2.111110,2.111110,2.055560,2.055560,1.815871,1121400
2000-01-05,2.066670,2.255560,2.055560,2.251110,1.988619,1602450
2000-01-06,2.222220,2.455560,2.222220,2.455560,2.169229,3084300
2000-01-07,2.455560,2.577780,2.444440,2.553330,2.255598,2871000
2000-01-10,2.600000,2.888890,2.600000,2.817780,2.489212,4137750
2000-01-11,2.777780,2.866670,2.600000,2.666670,2.355722,3211650
2000-01-12,2.653330,2.653330,2.488890,2.535560,2.239900,4891050
2000-01-13,2.577780,2.622220,2.355560,2.444440,2.159405,1505250
2000-01-14,2.444440,2.488890,2.366670,2.488890,2.198672,2822400
2000-01-17,2.444440,2.522220,2.411110,2.504440,2.212409,2023650
2000-01-18,2.444440,2.533330,2.377780,2.400000,2.120147,1807650
2000-01-19,2.400000,2.446670,2.333330,2.366670,2.090703,2295000
2000-01-20,2.366670,2.511110,2.366670,2.511110,2.218302,1899000
2000-01-21,2.533330,2.533330,2.400000,2.488890,2.198672,883800
2000-01-24,2.488890,2.508890,2.422220,2.466670,2.179044,909450
2000-01-25,2.466670,2.466670,2.466670,2.466670,2.179044,0
2000-01-26,2.444440,2.486670,2.422220,2.486670,2.196712,777150
2000-01-27,2.486670,2.488890,2.422220,2.422220,2.139776,1012050
2000-01-28,2.422220,2.422220,2.244440,2.355560,2.080889,668700
2000-01-31,2.311110,2.333330,2.200000,2.333330,2.061251,786150
2000-02-01,2.377780,2.377780,2.222220,2.377780,2.100519,707400
2000-02-02,2.377780,2.400000,2.244440,2.377780,2.100519,468900
2000-02-03,2.444440,2.444440,2.344440,2.377780,2.100519,668250
2000-02-04,2.377780,2.506670,2.377780,2.477780,2.188858,2007000
2000-02-07,2.508890,2.508890,2.446670,2.455560,2.169229,2585700
2000-02-08,2.466670,2.622220,2.466670,2.511110,2.218302,3021300
2000-02-09,2.466670,2.466670,2.422220,2.466670,2.179044,1592100
2000-02-10,2.442220,2.464440,2.422220,2.444440,2.159405,2188800
2000-02-11,2.422220,2.466670,2.311110,2.311110,2.041622,1073700
2000-02-14,2.426670,2.426670,2.200000,2.222220,1.963098,1162350
2000-02-15,2.222220,2.222220,2.111110,2.200000,1.943469,2307600
2000-02-16,2.222220,2.311110,2.200000,2.255560,1.992550,1794600
2000-02-17,2.288890,2.344440,2.288890,2.320000,2.049476,1239300
2000-02-18,2.244440,2.244440,2.191110,2.222220,1.963098,1042650
2000-02-21,2.211110,2.311110,2.211110,2.255560,1.992550,904050
2000-02-22,2.300000,2.311110,2.200000,2.211110,1.953283,828000
2000-02-23,2.233330,2.233330,2.188890,2.200000,1.943469,1288800
2000-02-24,2.222220,2.311110,2.111110,2.220000,1.961137,1448550
2000-02-25,2.222220,2.222220,2.111110,2.111110,1.864944,881100
2000-02-28,2.122220,2.122220,2.088890,2.100000,1.855129,451800
2000-02-29,2.133330,2.217780,2.091110,2.111110,1.864944,380250
2000-03-01,2.088890,2.100000,2.022220,2.086670,1.843353,593550
2000-03-02,2.057780,2.057780,1.933330,1.966670,1.737346,8419950
2000-03-03,2.000000,2.088890,1.944440,2.044440,1.806048,3476700
2000-03-06,2.044440,2.044440,2.044440,2.044440,1.806048,0
2000-03-07,2.044440,2.044440,2.044440,2.044440,1.806048,0
2000-03-08,2.037780,2.133330,2.037780,2.044440,1.806048,1197900
2000-03-09,2.088890,2.166670,2.077780,2.128890,1.880650,2456100
2000-03-10,2.128890,2.133330,2.044440,2.055560,1.815871,1199700
2000-03-13,2.044440,2.044440,1.955560,1.977780,1.747160,2297250
2000-03-14,2.000000,2.046670,1.900000,1.955560,1.727532,622350
2000-03-15,1.955560,1.966670,1.900000,1.966670,1.737346,421650
2000-03-16,2.022220,2.022220,1.955560,2.000000,1.766790,2746800
2000-03-17,2.000000,2.077780,1.911110,1.911110,1.688265,1628550
2000-03-20,1.924440,1.988890,1.924440,1.955560,1.727532,1206450
2000-03-21,1.911110,2.153330,1.911110,2.044440,1.806048,1740600
2000-03-22,2.077780,2.244440,2.044440,2.155560,1.904210,1399950
2000-03-23,2.166670,2.200000,2.066670,2.080000,1.837461,1741500
2000-03-24,2.093330,2.133330,2.033330,2.077780,1.835500,524700
2000-03-27,2.088890,2.177780,2.088890,2.177780,1.923839,547200
2000-03-28,2.200000,2.200000,2.088890,2.088890,1.845315,1654650
2000-03-29,2.111110,2.144440,2.037780,2.037780,1.800164,1064250
2000-03-30,2.002220,2.002220,1.948890,1.948890,1.721639,2602800
2000-03-31,1.977780,2.000000,1.922220,1.922220,1.698079,4669200
2000-04-03,1.944440,2.066670,1.911110,2.055560,1.815871,3285000
2000-04-04,2.044440,2.066670,1.911110,2.044440,1.806048,982350
2000-04-05,2.022220,2.042220,1.911110,1.944440,1.717708,2787750
2000-04-06,2.000000,2.011110,1.937780,1.937780,1.711825,1641600
2000-04-07,2.020000,2.020000,1.946670,1.977780,1.747160,1089000
2000-04-10,1.955560,1.977780,1.933330,1.935560,1.709864,365850
2000-04-11,1.922220,1.944440,1.888890,1.911110,1.688265,959400
2000-04-12,1.942220,1.986670,1.911110,1.955560,1.727532,1667250
2000-04-13,1.975560,1.975560,1.800000,1.835560,1.621524,1836450
2000-04-14,1.800000,1.844440,1.666670,1.677780,1.482142,1759050
2000-04-17,1.755560,1.755560,1.546670,1.648890,1.456621,1876500
2000-04-18,1.702220,1.800000,1.668890,1.733330,1.531215,1901250
2000-04-19,1.733330,1.744440,1.666670,1.686670,1.489995,1961550
2000-04-20,1.666670,1.766670,1.664440,1.742220,1.539068,371250
2000-04-21,1.742220,1.742220,1.742220,1.742220,1.539068,0
2000-04-24,1.755560,1.755560,1.691110,1.711110,1.511586,1261800
2000-04-25,1.766670,1.766670,1.722220,1.733330,1.531215,1678050
2000-04-26,1.766670,1.766670,1.680000,1.711110,1.511586,1319850
2000-04-27,1.671110,1.682220,1.640000,1.666670,1.472328,2937600
2000-04-28,1.733330,1.740000,1.668890,1.677780,1.482142,1425150
2000-05-01,1.677780,1.677780,1.677780,1.677780,1.482142,0
2000-05-02,1.731110,1.800000,1.711110,1.711110,1.511586,1858500
2000-05-03,1.711110,1.777780,1.711110,1.777780,1.570482,811800
2000-05-04,1.800000,1.888890,1.755560,1.866670,1.649007,1013400
2000-05-05,1.866670,2.044440,1.864440,1.977780,1.747160,2445750
2000-05-08,1.977780,2.000000,1.917780,1.955560,1.727532,1642050
2000-05-09,1.944440,1.955560,1.822220,1.900000,1.678450,1068750
2000-05-10,1.900000,1.922220,1.822220,1.904440,1.682372,749250
2000-05-11,1.911110,1.955560,1.866670,1.911110,1.688265,966150
2000-05-12,1.911110,1.911110,1.755560,1.762220,1.556736,696150
2000-05-15,1.762220,1.822220,1.755560,1.800000,1.590111,1846800
2000-05-16,1.840000,1.933330,1.840000,1.911110,1.688265,1368900
2000-05-17,1.888890,1.911110,1.855560,1.855560,1.639192,504900
2000-05-18,1.866670,1.868890,1.822220,1.822220,1.609740,604800
2000-05-19,1.800000,1.800000,1.711110,1.755560,1.550853,971550
2000-05-22,1.755560,1.755560,1.611110,1.700000,1.501771,1819350
2000-05-23,1.711110,1.733330,1.666670,1.668890,1.474289,1042650
2000-05-24,1.655560,1.755560,1.644440,1.755560,1.550853,1033200
2000-05-25,1.755560,1.780000,1.722220,1.740000,1.537107,5045850
2000-05-26,1.733330,1.777780,1.713330,1.777780,1.570482,1044450
2000-05-29,1.797780,1.811110,1.766670,1.766670,1.560667,949050
